rik	medicine
tsejʔ	eight
rɐŋ	alive; be living
vɐŋ	flower
roʔ	weaver
kʰuʔ	smoke
juŋ	urine
luŋ	heart
reʔ	tie
sik	comb
vuk	grandfather/father-in-law
je	night
tsik	horn
huʔ	pig
tse	eat
luŋ	stone
kow	grasshopper
tʰɐn	liver
tʰo	clean
ruk	egg
tsej	sharp
tso	enter
vue	leftside
lik	armpit hair
kɐŋ	horse
se	body hair
moʔ	eye
pʰik	clothes
ni	five
vuk	father-in-law
sik	eleven
rɐŋ	snake
mow	itchy
so	swallow
ju	monkey
sam	hair (head)
leʔ	lick
we	axe
juʔ	rat/rodent
nej	pus
ko	strong
tʰow	awaken
si	long
wuk	thumb
ke	descend/come down
ʃe	thorn (prick)
kej	cross
tsoʔ	wash
lu	tongue
ku	nine
tʰɐŋ	hide
ke	open the mouth
kaʔ	shoot
tik	be numb/ be paralyzed
rwe	axe
kʰi	lift up
roʔ	weave
ke	far
mi	rice field/swidden/upland field
tsow	tall
lu	earth/ground/dry land (vs. water)
muʔ	cow
kej	kidney
rɐŋ	guts/intestine
kik	four
rejʔ	heavy
wuʔ	belly (exterior)
kejʔ	cut
lo	fall
kʰe	bitter
lu	brain
tʰow	fat
lu	buffalo
tsik	fear
tuʔ	deep
tik	die; be dead
mu	3sg
ku	bark
ram	otter
lu	squirrel
tsik	afraid
tsaʔ	weep
luk	daughter
ruʔ	six
kʰe	chin
nej	twist/knead
tsɐŋ	sky
hɐm	Tibetan/Himalayan bear (Selenarctos thibetanus)
wi	bamboo
wuʔ	belly
pej	fly
hwi	late
juŋ	piss/urine
tsik	salt
hɐm	bear
pem	needle
tʰɐm	three
huk	dog (Canis familiaris)
jam	run/flee
ʔu	I
kə	blow
ruk	bone
mu	cloud
jɐŋ	wrong
tʰu	fruit
tʰɐŋ	tree
vue	left hand
pu	full/complete
r	axe
vɐm	body
ruk	water
pej	easy
hoʔ	big
mu	mouth
tsow	dig
le	arrow
kɐn	twenty/score
tʰu	see/know
ʔa	calf
nuk	breast
suŋ	mortar
juŋ	root
nuk	laugh
re	arrive
we	tooth
se	animal
we	bamboo
no	2sg
suʔ	emerge
tʰo	new
