pû	crawl
kxɯ̂	grasshopper
mó	mouth
kxû	foot
sxɯ̃̀ə	husked rice
bṍ	uterus
lỳ	buffalo
sə́	do (v.)
mɯ̂ə	brother-in-law
lú	buy
tó	weave
mûə	itch
ɬí	far
kí	ascend/climb
txɯ̂	fat
zúə	sister, younger  of male
t͡sô	cry (v.)
t͡sý	water
ɕŷ	tempt
má	goat
t͡ɕʰỳ	hide (something)
sý	wash (clothes) (v.)
pvɯ́	grandfather, paternal
sɯ̃̀ə	sweet
tõ̂	weave
sú	scoop out
sí	flesh
sxɯ̂ə	very cold
kʰɹ̥ɯ̀e	intestine
zà	spear
psɯ́n	clothing
ɕí	thick
r̥ɯ̃̀ə	headlouse
nỳ	laugh
sê	thorn
xû	pig
kxû	foot/leg
zɯ́	black
kûe	horse
kù	scratch
nə̀	nose
pzɯ́	grandmother
zɯ̃̀ə	suck
sú	exit (v.)
tʰûə	uncle, wife of older paternal
kõ̀	back
tʰɯ́	sour
kù	twenty
zi	eat (rice; v.)
pv	maternal grandfather
kxùi	bee
nɯ̀	child
kùe	crooked
t͡sỳ	egg
nã̂	2sg
t͡ɕɯ̂ə̃	mosquito
kɯ̂ə	shoot
t͡sɯ̃́ə	marrow
pû	belly
hõ	yawn (v.)
kɕíe	frog
rù	bone
sɯ̃̀ə	long
r̥ɯ́	heavy
jàu	sheep
mý	cloud
pzɯ	maternal grandmother
mɯ̃́ə	lost
hê	leech
lɯ́	eagle
sɯ́	mortar
kɕìe	knife
psɯ̂	cloth
pvɯ̀	pig, female
na	stick (v.)
t͡ɕɯ	deer (generic)
t͡sɯ̀	fear (v.)
sxã̀	penis
sɯ́	chili pepper
t͡ɕî	bad character
tʰá	kick (v.)
pzɯ́	give (v.)
xû	call
kíe	break (v.)
zŷ	mouse
só	able
r̥ɯ́	not heavy
mɯ̀	person
kfɯ̀	anus
bó	buttocks
t͡sý	grandchild
txúə	full, be
sxùŋ	day
t͡sɯ́	salt
ǹ	water
xúə	start (v.)
pʰr̻í	beautiful
xɯ̀	rough
mɯ̀	cat
kfɯ̂	smoke
pî	father
χõ̂	cook (v.)
lyî	roll
ŋõ̀	bear
mi	wound
kúə	strong
kxɯ́	grasshopper, giant
mɯ̃̀ə	ripe
pɯ́ə	flower
psɯ́	wash (clothes) (v.)
pɯə	mushroom species
mɯ̂	eye
mâ	tail
txûə	To awake, be (v.)
ɲùe	pus
là	exist (v.)
pɯ̃̀ə	light (weight)
rá	twist/squeeze (v.)
kũ̀	year
sù	tie (v.)
lâ	soil
ŋì	five
kɕì	chin
mə́	dream (n.)
hã́	look (v.)
kʰâ	breath
txṍ	three
zõ̀	monkey
tuə	younger maternal aunt
dí	arrive (v.)
xúi	skin
pə́	left hand
zé	walk (v.)
pʰṍ	conceive
χà	shout
kʰí	bitter
dû	brain
r̥ɯ̂	rope
t͡ɕʰúə	sick, be
tχɯ̃́ə	dry
tʰùə	new
t͡ɕʰî	seed
kúe	copulate (v.)/have intercourse
ɕì	cattle
sxã̂	swallow
prie	fly (v.)
trú	six
mùə	sister-in-law
mẽ́	price
kʰə	fall (v.)
nə́	seven
t͡ɕʰû	lung
tχâ	fruit
t͡sʰɯ̀	numb, be
sî	body
pr̥ɯ̂	wash (legs) (v.)
búʔ	burst (v.)
dà	elephant
sɯ̃̀ə	bracelet
xɯ̀	light (n.)
t͡ɕúŋ	many
t͡ɕʰûə	burning
rû	1pl
ɕí	one hundred
mɯ	3sg
bɯ̂ə	bat
ɕì	tooth
ɬxɯ̂	scales (of fish)
ŋûə	fry (v.)
hẽ́	curry
ŋɯ̂ə	wait
t͡sʰɯ̀	To die (v.)
zɯ̀	kiss (v.)
sxú	open
ʑì	accept (v.)
rã̂	land/country
kṍ	river
kxùə	dirty
sxã́	husband
ká	bite
pû	swell
cuə	sambhur/sambar
ɕĩ̂	song
zá	snail
xúi	late
tʰɯ̃̀ə	clean
r̥í	daughter in law
líe	forget (v.)
ʑì	palm
sxɯ́	blink (v.)
mɯ̃̀ə	name
nɯ	mother-in-law
kxr̥ì	toast (v.)
lỳ	fall (v.)
ná	hurt
sɯ́	bamboo
zỳ	sit (v.)
kú	nine
lùo	words/speech
pɕí	seek/search
kûə	head
pɕí	slap (v.)
ɕì	hot
dũ̂	descend (v.)
ná	stick
xúe	ginger
lũ̀	warm
mã̀	drink (v.)
ɹɯ́	snake
kʰõ	neck
lũ̀	heart
kúə	hair
làm	fathom
bzɯ̂	To sleep (v.)
kɕí	cough
lé	arrow
kʰə́	lift up
xui	wither
nâ	two
ka	kidney
tûə	uncle, father's younger brother
zî	eat (v.)
ɕí	hair of the head
lùŋ	termite
t͡ɕʰɯ̂ə	like
pá	right hand
ɕì	axe
pʰṍ	pregnant, be
t͡sʰɯ̂	liver
ɬî	shadow
sɯ̃̂ə	house
hè	six
ká	cut wood (v.)
kfɯ	hand
tûə	aunt, wife of father's younger brother
zɯ̀ə	cooked rice
lù	vomit (v.)
pv	father-in-law
ŋìe	freshwater eel
ʔy	dog
sɯ̂	blood
pé	fart
nõ̀	smell/sniff (v.)
mɯ́ə	rub (v.)
tʰi	resemble/be like
n	bird
t͡sɯ̂	bile
tuə	younger maternal aunt's husband
ɕúe	wind
sú	brush teeth (v.)
t͡sý	saliva
sŷ	exchange
tχa	see/know
kvɯ̂	porcupine
tɯ́ə	green
pɯ̀ə̃	arm
ɕỳ	rot
tá	slow
nî	ear
tsɯ	antler (of deer)
kə́	root
t͡sỳ	spit (v.)
ɹɯ̂e	war
tõ̀	carry on head
tî	bird
zû	breast
lê	star
le	1sg:refl
kẽ́	cross
líe	easy/cheap
nɯ̃̂ə	mind
cɯ	deer (generic)
rɯ̃́ə	finger
zɯ̃́ə	sky
sã	road/path
lũŋ	stone
r̥ɯ̀ə̃	alive, be (v.)
ljá	four
kɕíe	crab
lɯə̃	placenta/afterbirth
tuə	older maternal aunt
ʔõ̂	pot
sɯ̀	dove
tí	sharpen knife
dɯ̂ə	break (v.)
nə̀	leaf
lũ̂	slingshot
pʰɬìe	navel
ká	kidney
ǹ	blood
pa	side (left)
kɯ́	roast/dry (v.)
kuə	pestle
má	fire
kúə	mortar
t͡ɕɯ̃́ə	moon
bò	shrew
kʰl̥â	squirrel
kɬì	untie/loose (v.)
cuə	be sick/ill
luə	field
sã́	right hand
tʰú	deep
ŋî	fish
tʰùə	drive (v.)
mìe	face
rũ̀	add together
tʰɯ́ə	fast
t͡ɕî	necklace
ɹ̥ɯ̀ə	flea
tʰûə	uncle, older paternal
tã́	house lizard
mé	banana
zỳ	sell
pʰùŋ	moutain
hé	ten
kúə	bone
tʰa	kick the foot (v.)
hẽ́́	expect (v.)
zù	nurse/suckle
nɯ̃́ə	think (v.)
tʰɯ́m	tree
kɕì	jaw, lower
ŋie	want/desire
kʰr̥ɯ̀e	large intestine
mà	brother, older  of female
li	tongue
ɕíe	vagina
mà	comparative degree
prí	fly (v.)
pχá	thigh
kxú	deaf
kɕí	phlegm
zì	chase
tʰuo	stand up
túə	small
t͡sɯ́	horn (of an animal)
sə̀	bad character
lɯ́ə	lick (v.)
pvɯ̂	thumb
kʰr̥û	throat
zã́	enter (v.)
zám	urine
pí	smal intestine
zɯ́	wet
t͡ɕʰùə	dig
prɯ̃̀ə	needle
sxũ̀	closed
bíe	defecate (v.)
psɯ́	hit (v.)
kfɯ̂	village/state
rɯ́ə	ribcage
t͡ɕʰê	hungry for rice, to be (v.)
bã̂	basket, head
pʰè	soft
ɕxɯ̃̀ə	sharp
pi	brother of male (younger)
ʔùə	chicken
ɕí	eight
lɯ	snail
nù	shake something
dé	cut meat (v.)
t͡ɕʰɯ̃̀ə	wing
pʰũ	carry (on shoulders)
tsɯ́	touch (v.)
t͡ɕʰŷ	wash (hands) (v.)
ʔâ	1sg
t͡sɯ́	comb
tʰé	kill (v.)
bɯ̃̀ə	shoulder/arm
