va	grandmother	va	paternal grandmother	fak	pig	ðak	weave	jak	ashamed
pam	sit	pwe	defecate (v.)	sam	hair (head)	sam	hair of head	sam	run/flee
tʰeŋ	dry	tʰeŋ	be dry	tʰe	awaken	tʰɐn	liver	te	uncle (fathers younger brother)
cir	spit (v.)	car	white	co	deer	sor	old	cir	saliva
ca	be thirsty	car	white	cap	cry/weep (v.)	ðej	ant	va	grandmother
mɐŋ	name	mɐ	give	mɐ	person	tɐŋ	marrow	nɐŋ	stand
vu	uncle (mothers brother)	vu	father-in-law	vu	great grandfather	vu	grandfather	vu	paternal grandfather
wor	sell	wa	rightside	we	mother	we	molar	we	eat (fruit)
ko	thin	kʰaw	shoulder bag	kʰaw	shoulder-bag	aw	father	aw	paternal uncle (elder)
ni	laugh	no	child	kʰə	laugh	nɐ	seven	nɐ	mother-in-law
lo	shadow	va	grandmother	ja	look at	ʔa	antler (of deer)	ʃa	clan
rop	rib	roŋ	slingshot	mok	brother-in-law of male (younger)	ron	spider	rɐk	throat
ki	bite	ðej	ant	ke	head	ke	cold	ki	bite (v.)
ðar	sister (younger than male ego)	tsɐ	fear/frighten	tsɐ	four	tsɐ	moon	tsɐ	horn
ke	head	ku	climb/ascend	kup	finish	kum	year	kʰok	basket (head-basket)
va	grandmother	va	paternal grandmother	wu	go	wa	rightside	ja	look at
pʰi	foot	pʰi	leg	pʰi	calf (of leg)	pʰi	calf (of leg)	ðej	ant
cir	saliva	cir	spit (v.)	li	exist/be	pi	finish/be complete	ca	be thirsty
ʃu	dove	ʃu	dove/pigeon (general term)	ʃu	hundred	ʃu	thick	ʃut	brush (teeth)
tʰur	sour	tʰuk	deep	tʰum	hide	tʰum	three	tʰa	resemble/be like
kʰur	anus	kʰur	anus/rectum	kʰur	cave	kʰur	cave/hole (in rock)	kʰu	chin
tʰar	new	tʰɐ	bile	tʰar	clean	tʰɐŋ	bark (of tree)	tʰɐk	lung/chest
nam	deceive	ʃap	able	ham	pot	jap	hit/strike	ðak	weave
pot	soft	pwe	easy	pwe	fly	pwe	defecate (v.)	ðej	ant
no	child	nam	deceive	naŋ	spin	nak	fine	nam	smell
ʃa	clan	ʃa	husband	ʃa	cook	ʃap	able	ʃam	chase
wor	sell	vu	father-in-law	wa	rightside	we	mother	we	molar
ri	toast/cook from the side	ri	crab	rɐk	throat	ruk	six	rɐk	rat
kop	shoot	kop	shoot (v.)	ʃap	able	jap	hit/strike	nap	Flick the snot (from your nose)ǃ
wor	sell	vu	grandfather	wa	rightside	we	mother	we	molar
ru	untie	ram	village	a	come	va	grandmother	ja	look at
ðej	ant	mi	tail (of animal)	mwe	face	mwe	want/desire	veŋ	light (weight)
pʰɐn	blow (mouth)	pʰɐn	belly/abdomen (external bulge)	tʰɐn	liver	pʰo	branch	pʰi	calf (of leg)
tʰɐ	bile	tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	kʰi	bee
har	chicken/fowl (general term)	hor	mushroom	hɐ	carry on shoulders	hɐ	call	hur	fan onself
rɐk	louse	ri	toast/cook from the side	ri	crab	rɐk	throat	ruk	six
tʰa	resemble/be like	tʰak	kick	tʰar	new	tʰar	clean	ta	pine
kʰuk	knee	kʰu	chin	kʰu	bitter	kʰu	cough	kʰu	jaw (general)
rɐŋ	alive/be living	rɐŋ	alive	tɐŋ	marrow	lɐŋ	root	ja	look at
mok	brother-in-law of male (younger)	ʃuk	borrow	sɐ	scoop out	tʰok	fast/quick	kʰok	basket
ku	climb/ascend	kwi	twenty	kup	finish	kum	year	kʰu	chin
cap	cry/weep (v.)	tɕap	weep	ʃap	able	jap	hit/strike	nap	Flick the snot (from your nose)ǃ
tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	kʰi	bee	kʰi	crooked
ʃa	clan	ʃa	husband	ʃa	cook	ʃap	able	ʃam	chase
pam	sit	pu	brother of female (younger)	va	grandmother	ja	look at	ʔa	antler (of deer)
li	squirrel	le	field	le	navel	ðej	ant	lek	lick (v.)
rɐ	bone	ru	untie	ru	ten	ruk	six	rum	add together
nim	damp	ni	laugh	ʃim	mortar	ʃim	sweet	ʃim	house
fu	elephant	fu	axe	fu	bamboo	fu	tooth	fu	body hair
cu	necklace	cuŋ	(be) many	tɕe	burn	ce	burn off fields/slash and burn	ðej	ant
kon	cross	kʰak	breath	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
nwe	near	nam	deceive	naŋ	spin	nap	Flick the snot (from your nose)ǃ	nap	stick (v.)
ham	pot	har	chicken/fowl (general term)	ham	yawn (v.)	fu	bamboo	va	grandmother
tsa	grass	tʰa	resemble/be like	ta	pine	tsɐ	fear/frighten	tsɐ	four
ʃi	decay	ʃit	eight	ʃim	mortar	ʃim	sweet	ʃim	house
nɐ	hear (v.)	nam	deceive	naŋ	spin	nap	Flick the snot (from your nose)ǃ	nap	stick (v.)
ja	look at	ju	accept	jap	hit/strike	jak	ashamed	va	grandmother
tuŋ	descend	tu	far	tɐŋ	marrow	cuŋ	(be) many	ʃuŋ	arrive
ʃe	emerge	ʃe	produce/emerge	mok	brother-in-law of male (younger)	ʃuk	borrow	tʰok	fast/quick
vɐn	flower	ron	spider	kon	cross	con	help	hon	expect
tʰi	fruit (general)	tʰi	see/know	tʰi	exchange	kʰi	bee	kʰi	crooked
mɐk	eye	mi	tail (of animal)	mi	sister of female (elder)	mi	brother-in-law of female (older)	mi	more than (comparative degree)
car	white	cir	saliva	cir	spit (v.)	ðar	aunt (mother's younger sister)	ðar	uncle (mothers older sisters husband)
pʰo	branch	pʰuŋ	mountain	kʰaw	shoulder bag	kʰam	door	kʰaw	shoulder-bag
sor	old	ðar	aunt (mother's younger sister)	ðar	uncle (mothers older sisters husband)	ðar	oldest sister	ðar	uncle (fathers older brother)
rɐt	heavy	ri	toast/cook from the side	ri	crab	ʃit	eight	kʰə	heavy
nap	Flick the snot (from your nose)ǃ	nɐ	seven	nɐ	mother-in-law	nɐ	two	nɐ	ear
nɐ	breast	nur	fight with	ni	laugh	no	child	nɐ	seven
tʰur	sour	tʰuk	deep	tʰum	hide	tʰum	three	tʰa	resemble/be like
hu	young (of animal)/calf/foal	hur	fan onself	hi	wither	hivu	uncle (fathers sisters husband)	ham	pot
fu	elephant	fu	axe	fu	bamboo	fu	tooth	fu	body hair
rɐ	intestines	ri	toast/cook from the side	ri	crab	rɐ	intestines/bowels	re	roast
ruk	six	ru	untie	ru	ten	muk	cattle	ʃuk	borrow
va	grandmother	va	paternal grandmother	wa	rightside	ja	look at	ta	pine
ʃa	clan	tɐŋ	marrow	ʃuŋ	arrive	ʃuŋ	correct	rɐŋ	alive/be living
mok	brother-in-law of male (younger)	ma	dream	ma	drink (v.)	fak	pig	ðak	weave
ðar	uncle (fathers older brother)	rɐ	medicine	rɐ	intestines/bowels	rɐ	bone	rɐ	iron
